"agency","fiscal_year","n","n_salaried","n_hourly","n_daily"
"NYC EMPLOYEES RETIREMENT SYS",2024,514,478,36,0
"NYC EMPLOYEES RETIREMENT SYS",2025,501,469,32,0
"NYC FIRE PENSION FUND",2018,32,31,1,0
"NYC FIRE PENSION FUND",2019,36,35,1,0
"NYC FIRE PENSION FUND",2020,36,35,1,0
"NYC FIRE PENSION FUND",2021,44,44,0,0
"NYC FIRE PENSION FUND",2022,48,48,0,0
"NYC FIRE PENSION FUND",2023,46,46,0,0
"NYC FIRE PENSION FUND",2024,48,48,0,0
"NYC FIRE PENSION FUND",2025,49,49,0,0
"NYC HOUSING AUTHORITY",2014,11498,8519,0,2731
"NYC HOUSING AUTHORITY",2015,11457,8404,0,2795
"NYC HOUSING AUTHORITY",2016,10944,8037,0,2675
"NYC HOUSING AUTHORITY",2017,10791,8084,0,2601
"NYC HOUSING AUTHORITY",2018,10794,7800,0,2612
"NYC HOUSING AUTHORITY",2019,10820,7871,0,2610
"NYC HOUSING AUTHORITY",2020,10978,8137,0,2765
"NYC HOUSING AUTHORITY",2021,11384,8434,0,2881
"NYC HOUSING AUTHORITY",2022,11707,8644,0,2936
"NYC HOUSING AUTHORITY",2023,11878,8264,1,3315
"NYC HOUSING AUTHORITY",2024,11865,8243,0,3311
"NYC HOUSING AUTHORITY",2025,11994,8438,0,3333
"NYC POLICE PENSION FUND",2014,157,131,26,0
"NYC POLICE PENSION FUND",2015,150,130,20,0
"NYC POLICE PENSION FUND",2016,152,131,21,0
"NYC POLICE PENSION FUND",2017,155,132,23,0
"NYC POLICE PENSION FUND",2018,142,137,5,0
"NYC POLICE PENSION FUND",2019,141,139,2,0
"NYC POLICE PENSION FUND",2020,138,136,2,0
"NYC POLICE PENSION FUND",2021,140,139,1,0
"NYC POLICE PENSION FUND",2022,140,138,2,0
"NYC POLICE PENSION FUND",2023,140,140,0,0
"NYC POLICE PENSION FUND",2024,144,143,1,0
"NYC POLICE PENSION FUND",2025,141,137,4,0
"OFF OF PAYROLL ADMINISTRATION",2014,147,145,2,0
"OFF OF PAYROLL ADMINISTRATION",2015,155,155,0,0
"OFF OF PAYROLL ADMINISTRATION",2016,150,150,0,0
"OFF OF PAYROLL ADMINISTRATION",2017,162,160,2,0
"OFF OF PAYROLL ADMINISTRATION",2018,151,150,1,0
"OFF OF PAYROLL ADMINISTRATION",2019,149,147,2,0
"OFF OF PAYROLL ADMINISTRATION",2020,148,147,1,0
"OFF OF PAYROLL ADMINISTRATION",2021,145,143,2,0
"OFF OF PAYROLL ADMINISTRATION",2022,141,139,2,0
"OFF OF PAYROLL ADMINISTRATION",2023,141,140,1,0
"OFF OF PAYROLL ADMINISTRATION",2024,137,136,1,0
"OFF OF PAYROLL ADMINISTRATION",2025,132,131,1,0
"OFFICE OF COLLECTIVE BARGAININ",2014,15,15,0,0
"OFFICE OF COLLECTIVE BARGAININ",2015,15,15,0,0
"OFFICE OF COLLECTIVE BARGAININ",2016,18,17,1,0
"OFFICE OF COLLECTIVE BARGAININ",2017,19,17,2,0
"OFFICE OF COLLECTIVE BARGAININ",2018,16,15,1,0
"OFFICE OF COLLECTIVE BARGAININ",2019,18,17,1,0
"OFFICE OF COLLECTIVE BARGAININ",2020,14,14,0,0
"OFFICE OF COLLECTIVE BARGAININ",2021,17,16,1,0
"OFFICE OF COLLECTIVE BARGAININ",2022,17,16,1,0
"OFFICE OF COLLECTIVE BARGAININ",2023,14,14,0,0
"OFFICE OF COLLECTIVE BARGAININ",2024,15,15,0,0
"OFFICE OF COLLECTIVE BARGAININ",2025,15,15,0,0
"OFFICE OF CRIMINAL JUSTICE",2024,48,48,0,0
"OFFICE OF CRIMINAL JUSTICE",2025,96,96,0,0
"OFFICE OF EMERGENCY MANAGEMENT",2014,116,112,4,0
"OFFICE OF EMERGENCY MANAGEMENT",2015,154,149,5,0
"OFFICE OF EMERGENCY MANAGEMENT",2016,163,156,7,0
"OFFICE OF EMERGENCY MANAGEMENT",2017,171,165,6,0
"OFFICE OF EMERGENCY MANAGEMENT",2018,186,181,5,0
"OFFICE OF EMERGENCY MANAGEMENT",2019,183,178,5,0
"OFFICE OF EMERGENCY MANAGEMENT",2020,198,190,8,0
"OFFICE OF EMERGENCY MANAGEMENT",2021,197,191,6,0
"OFFICE OF EMERGENCY MANAGEMENT",2022,202,196,6,0
"OFFICE OF EMERGENCY MANAGEMENT",2023,219,201,18,0
"OFFICE OF EMERGENCY MANAGEMENT",2024,217,209,8,0
"OFFICE OF EMERGENCY MANAGEMENT",2025,223,209,14,0
"OFFICE OF LABOR RELATIONS",2014,103,99,4,0
"OFFICE OF LABOR RELATIONS",2015,111,105,6,0
"OFFICE OF LABOR RELATIONS",2016,123,119,4,0
"OFFICE OF LABOR RELATIONS",2017,131,127,4,0
"OFFICE OF LABOR RELATIONS",2018,137,133,4,0
"OFFICE OF LABOR RELATIONS",2019,134,130,4,0
"OFFICE OF LABOR RELATIONS",2020,159,155,4,0
"OFFICE OF LABOR RELATIONS",2021,154,150,4,0
"OFFICE OF LABOR RELATIONS",2022,148,144,4,0
"OFFICE OF LABOR RELATIONS",2023,156,151,5,0
"OFFICE OF LABOR RELATIONS",2024,161,157,4,0
"OFFICE OF LABOR RELATIONS",2025,164,160,4,0
"OFFICE OF MANAGEMENT & BUDGET",2014,328,323,5,0
"OFFICE OF MANAGEMENT & BUDGET",2015,336,331,5,0
"OFFICE OF MANAGEMENT & BUDGET",2016,359,355,4,0
"OFFICE OF MANAGEMENT & BUDGET",2017,408,388,20,0
"OFFICE OF MANAGEMENT & BUDGET",2018,404,388,16,0
"OFFICE OF MANAGEMENT & BUDGET",2019,412,392,20,0
"OFFICE OF MANAGEMENT & BUDGET",2020,407,398,9,0
"OFFICE OF MANAGEMENT & BUDGET",2021,383,372,11,0
"OFFICE OF MANAGEMENT & BUDGET",2022,394,373,21,0
"OFFICE OF MANAGEMENT & BUDGET",2023,435,406,29,0
"OFFICE OF MANAGEMENT & BUDGET",2024,463,434,29,0
"OFFICE OF MANAGEMENT & BUDGET",2025,457,421,36,0
"OFFICE OF RACIAL EQUITY",2024,10,10,0,0
"OFFICE OF RACIAL EQUITY",2025,28,28,0,0
"OFFICE OF THE ACTUARY",2014,35,35,0,0
"OFFICE OF THE ACTUARY",2015,36,34,2,0
"OFFICE OF THE ACTUARY",2016,36,34,2,0
"OFFICE OF THE ACTUARY",2017,38,38,0,0
"OFFICE OF THE ACTUARY",2018,41,41,0,0
"OFFICE OF THE ACTUARY",2019,43,43,0,0
"OFFICE OF THE ACTUARY",2020,42,42,0,0
"OFFICE OF THE ACTUARY",2021,40,40,0,0
"OFFICE OF THE ACTUARY",2022,40,40,0,0
"OFFICE OF THE ACTUARY",2023,35,35,0,0
"OFFICE OF THE ACTUARY",2024,40,40,0,0
"OFFICE OF THE ACTUARY",2025,38,38,0,0
"OFFICE OF THE COMPTROLLER",2014,728,710,17,0
"OFFICE OF THE COMPTROLLER",2015,723,706,16,0
"OFFICE OF THE COMPTROLLER",2016,733,720,12,0
"OFFICE OF THE COMPTROLLER",2017,811,741,69,0
"OFFICE OF THE COMPTROLLER",2018,803,746,55,0
"OFFICE OF THE COMPTROLLER",2019,799,744,54,0
"OFFICE OF THE COMPTROLLER",2020,771,748,22,0
"OFFICE OF THE COMPTROLLER",2021,804,736,67,0
"OFFICE OF THE COMPTROLLER",2022,698,657,41,0
"OFFICE OF THE COMPTROLLER",2023,696,655,41,0
"OFFICE OF THE COMPTROLLER",2024,708,664,44,0
"OFFICE OF THE COMPTROLLER",2025,740,690,50,0
"OFFICE OF THE MAYOR",2014,419,413,6,0
"OFFICE OF THE MAYOR",2015,461,452,9,0
"OFFICE OF THE MAYOR",2016,526,519,7,0
"OFFICE OF THE MAYOR",2017,459,456,3,0
"OFFICE OF THE MAYOR",2018,516,457,59,0
"OFFICE OF THE MAYOR",2019,563,480,83,0
"OFFICE OF THE MAYOR",2020,505,493,12,0
"OFFICE OF THE MAYOR",2021,423,422,1,0
"OFFICE OF THE MAYOR",2022,465,433,32,0
"OFFICE OF THE MAYOR",2023,442,413,29,0
"OFFICE OF THE MAYOR",2024,337,326,11,0
"OFFICE OF THE MAYOR",2025,359,328,31,0
"PERSONNEL MONITORS",2014,1199,0,1199,0
"PERSONNEL MONITORS",2015,2536,0,2536,0
"PERSONNEL MONITORS",2016,1399,0,1399,0
"PERSONNEL MONITORS",2017,1281,0,1281,0
"PERSONNEL MONITORS",2018,642,0,642,0
"PERSONNEL MONITORS",2019,474,0,474,0
"PERSONNEL MONITORS",2020,360,0,360,0
"PERSONNEL MONITORS",2021,71,0,71,0
"PERSONNEL MONITORS",2022,132,0,132,0
"PERSONNEL MONITORS",2023,162,0,162,0
"PERSONNEL MONITORS",2024,163,0,163,0
"PERSONNEL MONITORS",2025,155,0,155,0
"POLICE DEPARTMENT",2014,49722,47794,1470,452
"POLICE DEPARTMENT",2015,50213,48047,1690,469
"POLICE DEPARTMENT",2016,52283,49184,2611,480
"POLICE DEPARTMENT",2017,53728,50096,3144,480
"POLICE DEPARTMENT",2018,54586,50831,3260,486
"POLICE DEPARTMENT",2019,54234,50700,3022,505
"POLICE DEPARTMENT",2020,53814,50297,2999,510
"POLICE DEPARTMENT",2021,51041,48018,2525,490
"POLICE DEPARTMENT",2022,48958,47424,1048,478
"POLICE DEPARTMENT",2023,49267,46192,2503,564
"POLICE DEPARTMENT",2024,48072,45545,1961,558
"POLICE DEPARTMENT",2025,47480,45050,1864,559
"PRESIDENT BOROUGH OF MANHATTAN",2014,46,46,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2015,51,50,1,0
"PRESIDENT BOROUGH OF MANHATTAN",2016,53,53,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2017,52,52,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2018,50,50,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2019,55,53,2,0
"PRESIDENT BOROUGH OF MANHATTAN",2020,55,54,1,0
"PRESIDENT BOROUGH OF MANHATTAN",2021,52,51,1,0
"PRESIDENT BOROUGH OF MANHATTAN",2022,47,47,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2023,46,46,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2024,51,51,0,0
"PRESIDENT BOROUGH OF MANHATTAN",2025,50,50,0,0
"PUBLIC ADMINISTRATOR-BRONX",2014,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2015,8,8,0,0
"PUBLIC ADMINISTRATOR-BRONX",2016,8,8,0,0
"PUBLIC ADMINISTRATOR-BRONX",2017,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2018,6,6,0,0
"PUBLIC ADMINISTRATOR-BRONX",2019,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2020,8,8,0,0
"PUBLIC ADMINISTRATOR-BRONX",2021,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2022,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2023,8,8,0,0
"PUBLIC ADMINISTRATOR-BRONX",2024,7,7,0,0
"PUBLIC ADMINISTRATOR-BRONX",2025,9,9,0,0
"PUBLIC ADMINISTRATOR-KINGS",2014,9,9,0,0
"PUBLIC ADMINISTRATOR-KINGS",2015,10,10,0,0
"PUBLIC ADMINISTRATOR-KINGS",2016,11,11,0,0
"PUBLIC ADMINISTRATOR-KINGS",2017,12,12,0,0
"PUBLIC ADMINISTRATOR-KINGS",2018,13,13,0,0
"PUBLIC ADMINISTRATOR-KINGS",2019,12,12,0,0
"PUBLIC ADMINISTRATOR-KINGS",2020,12,12,0,0
"PUBLIC ADMINISTRATOR-KINGS",2021,11,11,0,0
"PUBLIC ADMINISTRATOR-KINGS",2022,12,12,0,0
"PUBLIC ADMINISTRATOR-KINGS",2023,11,11,0,0
"PUBLIC ADMINISTRATOR-KINGS",2024,12,12,0,0
"PUBLIC ADMINISTRATOR-KINGS",2025,15,15,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2014,11,11,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2015,9,9,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2016,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2017,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2018,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2019,11,11,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2020,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2021,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2022,10,10,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2023,12,12,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2024,12,12,0,0
"PUBLIC ADMINISTRATOR-NEW YORK",2025,12,12,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2014,7,7,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2015,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2016,7,7,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2017,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2018,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2019,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2020,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2021,8,8,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2022,7,7,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2023,7,7,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2024,7,7,0,0
"PUBLIC ADMINISTRATOR-QUEENS",2025,7,7,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2014,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2015,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2016,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2017,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2018,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2019,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2020,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2021,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2022,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2023,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2024,5,5,0,0
"PUBLIC ADMINISTRATOR-RICHMOND",2025,5,5,0,0
"PUBLIC ADVOCATE",2014,28,24,0,0
"PUBLIC ADVOCATE",2015,45,41,1,0
"PUBLIC ADVOCATE",2016,43,39,2,0
"PUBLIC ADVOCATE",2017,64,44,19,0
"PUBLIC ADVOCATE",2018,56,37,19,0
"PUBLIC ADVOCATE",2019,42,21,21,0
"PUBLIC ADVOCATE",2020,68,57,5,0
"PUBLIC ADVOCATE",2021,61,49,4,0
"PUBLIC ADVOCATE",2022,63,46,13,0
"PUBLIC ADVOCATE",2023,71,51,12,0
"PUBLIC ADVOCATE",2024,67,51,10,0
"PUBLIC ADVOCATE",2025,58,48,3,0
"PUBLIC SERVICE CORPS",2014,512,0,512,0
"PUBLIC SERVICE CORPS",2015,401,0,401,0
"PUBLIC SERVICE CORPS",2016,394,0,394,0
"PUBLIC SERVICE CORPS",2017,280,0,280,0
"PUBLIC SERVICE CORPS",2018,255,0,255,0
"PUBLIC SERVICE CORPS",2019,215,0,215,0
"PUBLIC SERVICE CORPS",2020,172,0,172,0
"PUBLIC SERVICE CORPS",2021,30,0,30,0
"PUBLIC SERVICE CORPS",2022,51,0,51,0
"PUBLIC SERVICE CORPS",2023,51,0,51,0
"PUBLIC SERVICE CORPS",2024,61,0,61,0
"PUBLIC SERVICE CORPS",2025,82,0,82,0
"QUEENS COMMUNITY BOARD #1",2014,3,2,1,0
"QUEENS COMMUNITY BOARD #1",2015,4,3,1,0
"QUEENS COMMUNITY BOARD #1",2016,4,2,1,0
"QUEENS COMMUNITY BOARD #1",2017,4,2,1,0
"QUEENS COMMUNITY BOARD #1",2018,4,2,1,0
"QUEENS COMMUNITY BOARD #1",2019,3,2,0,0
"QUEENS COMMUNITY BOARD #1",2020,4,2,0,0
"QUEENS COMMUNITY BOARD #1",2021,3,3,0,0
"QUEENS COMMUNITY BOARD #1",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #1",2023,2,2,0,0
"QUEENS COMMUNITY BOARD #1",2024,2,2,0,0
"QUEENS COMMUNITY BOARD #1",2025,4,2,1,0
"QUEENS COMMUNITY BOARD #10",2014,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2015,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2016,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2017,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2018,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2019,3,2,1,0
"QUEENS COMMUNITY BOARD #10",2020,4,3,1,0
"QUEENS COMMUNITY BOARD #10",2021,3,2,1,0
"QUEENS COMMUNITY BOARD #10",2022,3,2,1,0
"QUEENS COMMUNITY BOARD #10",2023,2,1,1,0
"QUEENS COMMUNITY BOARD #10",2024,1,1,0,0
"QUEENS COMMUNITY BOARD #10",2025,1,1,0,0
"QUEENS COMMUNITY BOARD #11",2014,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2015,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2016,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2017,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2018,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2019,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2020,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2021,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2022,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2023,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2024,3,2,0,0
"QUEENS COMMUNITY BOARD #11",2025,3,2,0,0
"QUEENS COMMUNITY BOARD #12",2014,4,3,0,0
"QUEENS COMMUNITY BOARD #12",2015,3,3,0,0
"QUEENS COMMUNITY BOARD #12",2016,3,3,0,0
"QUEENS COMMUNITY BOARD #12",2017,4,3,0,0
"QUEENS COMMUNITY BOARD #12",2018,4,3,0,0
"QUEENS COMMUNITY BOARD #12",2019,4,3,0,0
"QUEENS COMMUNITY BOARD #12",2020,4,3,0,0
"QUEENS COMMUNITY BOARD #12",2021,3,3,0,0
"QUEENS COMMUNITY BOARD #12",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #12",2023,3,3,0,0
"QUEENS COMMUNITY BOARD #12",2024,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2014,3,2,0,0
"QUEENS COMMUNITY BOARD #13",2015,3,2,0,0
"QUEENS COMMUNITY BOARD #13",2016,2,2,0,0
"QUEENS COMMUNITY BOARD #13",2017,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2018,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2019,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2020,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2021,3,3,0,0
"QUEENS COMMUNITY BOARD #13",2022,1,1,0,0
"QUEENS COMMUNITY BOARD #13",2023,1,1,0,0
"QUEENS COMMUNITY BOARD #13",2024,1,1,0,0
"QUEENS COMMUNITY BOARD #13",2025,1,1,0,0
"QUEENS COMMUNITY BOARD #14",2014,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2015,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2016,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2017,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2018,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2019,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2020,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2021,3,2,0,0
"QUEENS COMMUNITY BOARD #14",2022,2,2,0,0
"QUEENS COMMUNITY BOARD #14",2023,2,2,0,0
"QUEENS COMMUNITY BOARD #14",2024,2,2,0,0
"QUEENS COMMUNITY BOARD #14",2025,3,2,0,0
"QUEENS COMMUNITY BOARD #2",2014,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2015,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2016,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2017,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2018,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2019,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2020,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2021,4,3,1,0
"QUEENS COMMUNITY BOARD #2",2022,3,2,1,0
"QUEENS COMMUNITY BOARD #2",2023,3,2,1,0
"QUEENS COMMUNITY BOARD #2",2024,3,2,1,0
"QUEENS COMMUNITY BOARD #2",2025,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2014,4,4,0,0
"QUEENS COMMUNITY BOARD #3",2015,2,2,0,0
"QUEENS COMMUNITY BOARD #3",2016,5,3,0,0
"QUEENS COMMUNITY BOARD #3",2017,4,3,0,0
"QUEENS COMMUNITY BOARD #3",2018,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2019,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2020,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2021,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2023,3,3,0,0
"QUEENS COMMUNITY BOARD #3",2024,2,2,0,0
"QUEENS COMMUNITY BOARD #3",2025,2,2,0,0
"QUEENS COMMUNITY BOARD #4",2014,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2015,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2016,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2017,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2018,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2019,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2020,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2021,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #4",2023,2,2,0,0
"QUEENS COMMUNITY BOARD #4",2024,2,2,0,0
"QUEENS COMMUNITY BOARD #4",2025,2,2,0,0
"QUEENS COMMUNITY BOARD #5",2014,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2015,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2016,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2017,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2018,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2019,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2020,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2021,4,2,2,0
"QUEENS COMMUNITY BOARD #5",2022,4,2,1,0
"QUEENS COMMUNITY BOARD #5",2023,4,2,1,0
"QUEENS COMMUNITY BOARD #5",2024,4,3,1,0
"QUEENS COMMUNITY BOARD #5",2025,3,3,0,0
"QUEENS COMMUNITY BOARD #6",2014,4,2,0,0
"QUEENS COMMUNITY BOARD #6",2015,4,2,0,0
"QUEENS COMMUNITY BOARD #6",2016,4,2,0,0
"QUEENS COMMUNITY BOARD #6",2017,4,2,0,0
"QUEENS COMMUNITY BOARD #6",2018,4,2,0,0
"QUEENS COMMUNITY BOARD #6",2019,4,3,0,0
"QUEENS COMMUNITY BOARD #6",2020,4,3,0,0
"QUEENS COMMUNITY BOARD #6",2021,4,3,0,0
"QUEENS COMMUNITY BOARD #6",2022,4,3,0,0
"QUEENS COMMUNITY BOARD #6",2023,4,3,0,0
"QUEENS COMMUNITY BOARD #6",2024,3,2,0,0
"QUEENS COMMUNITY BOARD #6",2025,3,2,0,0
"QUEENS COMMUNITY BOARD #7",2014,4,3,0,0
"QUEENS COMMUNITY BOARD #7",2015,4,3,0,0
"QUEENS COMMUNITY BOARD #7",2016,4,3,0,0
"QUEENS COMMUNITY BOARD #7",2017,4,2,1,0
"QUEENS COMMUNITY BOARD #7",2018,4,2,1,0
"QUEENS COMMUNITY BOARD #7",2019,4,2,1,0
"QUEENS COMMUNITY BOARD #7",2020,5,2,1,0
"QUEENS COMMUNITY BOARD #7",2021,4,2,1,0
"QUEENS COMMUNITY BOARD #7",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #7",2023,3,3,0,0
"QUEENS COMMUNITY BOARD #7",2024,3,3,0,0
"QUEENS COMMUNITY BOARD #7",2025,3,3,0,0
"QUEENS COMMUNITY BOARD #8",2014,2,2,0,0
"QUEENS COMMUNITY BOARD #8",2015,4,3,0,0
"QUEENS COMMUNITY BOARD #8",2016,4,2,0,0
"QUEENS COMMUNITY BOARD #8",2017,4,3,0,0
"QUEENS COMMUNITY BOARD #8",2018,4,3,0,0
"QUEENS COMMUNITY BOARD #8",2019,4,3,0,0
"QUEENS COMMUNITY BOARD #8",2020,3,3,0,0
"QUEENS COMMUNITY BOARD #8",2021,4,3,1,0
"QUEENS COMMUNITY BOARD #8",2022,3,3,0,0
"QUEENS COMMUNITY BOARD #8",2023,4,3,1,0
"QUEENS COMMUNITY BOARD #8",2024,3,3,0,0
"QUEENS COMMUNITY BOARD #8",2025,3,3,0,0
"QUEENS COMMUNITY BOARD #9",2014,3,3,0,0
"QUEENS COMMUNITY BOARD #9",2015,2,2,0,0
"QUEENS COMMUNITY BOARD #9",2016,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2017,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2018,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2019,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2020,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2021,4,3,0,0
"QUEENS COMMUNITY BOARD #9",2022,3,2,0,0
"QUEENS COMMUNITY BOARD #9",2023,3,2,0,0
"QUEENS COMMUNITY BOARD #9",2024,3,3,0,0
"QUEENS COMMUNITY BOARD #9",2025,3,3,0,0
"QUEENS DA",2014,607,601,6,0
"RICHMOND DA",2014,103,98,5,0
"SPEC NARCS-DA",2014,209,203,3,0
"STATEN ISLAND COMMUNITY BD #1",2014,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2015,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2016,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2017,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2018,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2019,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2020,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2021,3,3,0,0
"STATEN ISLAND COMMUNITY BD #1",2022,2,2,0,0
"STATEN ISLAND COMMUNITY BD #1",2023,2,2,0,0
"STATEN ISLAND COMMUNITY BD #1",2024,2,2,0,0
"STATEN ISLAND COMMUNITY BD #1",2025,2,2,0,0
"STATEN ISLAND COMMUNITY BD #2",2014,4,1,3,0
"STATEN ISLAND COMMUNITY BD #2",2015,4,1,3,0
"STATEN ISLAND COMMUNITY BD #2",2016,4,1,3,0
"STATEN ISLAND COMMUNITY BD #2",2017,4,1,3,0
"STATEN ISLAND COMMUNITY BD #2",2018,3,1,2,0
"STATEN ISLAND COMMUNITY BD #2",2019,3,1,2,0
"STATEN ISLAND COMMUNITY BD #2",2020,2,1,1,0
"STATEN ISLAND COMMUNITY BD #2",2021,2,1,1,0
"STATEN ISLAND COMMUNITY BD #2",2022,2,1,1,0
"STATEN ISLAND COMMUNITY BD #2",2023,3,2,1,0
"STATEN ISLAND COMMUNITY BD #2",2024,2,1,1,0
"STATEN ISLAND COMMUNITY BD #2",2025,1,1,0,0
