"title","n","median_tenure","pct_over_20","pct_over_25","pct_under_5","suppressed"
"ADMINISTRATIVE TAX AUDITOR",31,34.6694045174538,0.580645161290323,0.580645161290323,0,FALSE
"ADMINISTRATIVE TRANSPORTATION COORDINATOR",19,,,,,TRUE
"ADMINISTRATOR",8,,,,,TRUE
"ADMINISTRATOR OF MEDICAL AFFAIRS",1,,,,,TRUE
"ADMINISTRATOR SUPT CAMPUS B/G",9,,,,,TRUE
"ADULT ED 30 H",8,,,,,TRUE
"ADULT EDUCAT TEACH REG SUB",1,,,,,TRUE
"ADULT EDUCATION TEACHER",148,22.0643394934976,0.662162162162162,0.324324324324324,0.00675675675675676,FALSE
"ADVISOR FOR GAY LESBIAN TRANSGENDER ISSUES",1,,,,,TRUE
"AGENCY ATTORNEY",946,4.26557152635181,0.0866807610993657,0.025369978858351,0.519027484143763,FALSE
"AGENCY ATTORNEY DC37",5,,,,,TRUE
"AGENCY ATTORNEY INTERNE",129,0.804928131416838,0.00775193798449612,0.00775193798449612,0.968992248062015,FALSE
"AGENCY CHIEF CONTRACTING OFFICER",31,3.87132101300479,0.0967741935483871,0.032258064516129,0.548387096774194,FALSE
"AGENCY CHIEF DECARBONIZATION OFFICER",5,,,,,TRUE
"AGENCY DEPUTY MEDICAL DIRECTOR",12,,,,,TRUE
"AGENCY MEDICAL DIRECTOR",12,,,,,TRUE
"AIR POLLUTION INSPECTOR",40,5.95071868583162,0.075,0.025,0.4,FALSE
"ANALYST",122,2.7378507871321,0.040983606557377,0.0327868852459016,0.721311475409836,FALSE
"ANNUAL ED PARA",24779,10.6557152635181,0.218249324024375,0.145243956576133,0.228742079987086,FALSE
"APPRAISER",9,,,,,TRUE
"APPRENTICE",65,2.01232032854209,0,0,0.969230769230769,FALSE
"APPRENTICE INSPECTOR",107,2.67214236824093,0.00934579439252336,0.00934579439252336,0.691588785046729,FALSE
"ARCHITECT",57,6.47775496235455,0.192982456140351,0.157894736842105,0.473684210526316,FALSE
"ARCHITECTURAL INTERN",1,,,,,TRUE
"AREA MANAGER OF SCHOOL MAINTENANCE",24,,,,,TRUE
"AREA SUPERVISOR",59,28.6543463381246,0.932203389830508,0.779661016949153,0,FALSE
"ASBESTOS HANDLER",32,5.35797399041752,0.21875,0.09375,0.5,FALSE
"ASBESTOS HANDLER SUPERVISOR",8,,,,,TRUE
"ASBESTOS HAZARD INVESTIGATOR",4,,,,,TRUE
"ASIST SYSTMS ANALYST",1,,,,,TRUE
"ASPHALT PLANT MANAGER",2,,,,,TRUE
"ASS COMMISSIONER DESIGN AND CONSTRUCTION MANAGEMENT",1,,,,,TRUE
"ASSIST COMMISSIONER",1,,,,,TRUE
"ASSIST COMMISSIONER FOR POLICY ANALYSIS & PROG DEVE",1,,,,,TRUE
"ASSIST COORDINATING MANAGER",2,,,,,TRUE
"ASSISTANCE FINANCE OFFICER",2,,,,,TRUE
"ASSISTANT ACCOUNTANT",1,,,,,TRUE
"ASSISTANT ADMINISTRATOR",7,,,,,TRUE
"ASSISTANT ADMINISTRATOR OF PUBLIC AFFAIRS",1,,,,,TRUE
"ASSISTANT ADVOCATE PD",1,,,,,TRUE
"ASSISTANT ARCHITECT",75,8.66255989048597,0.0933333333333333,0.0533333333333333,0.346666666666667,FALSE
"ASSISTANT BUDGET ANALYST",15,,,,,TRUE
"ASSISTANT CAPTAIN",13,,,,,TRUE
"ASSISTANT CHEMICAL ENGINEER",20,,,,,TRUE
"ASSISTANT CHIEF FIRE MARSHAL",1,,,,,TRUE
"ASSISTANT CHIEF OF DEPARTMENT",8,,,,,TRUE
"ASSISTANT CHIEF RACKET INVESTIGATOR",1,,,,,TRUE
"ASSISTANT CITY ASSESSOR",34,0.459958932238193,0,0,0.735294117647059,FALSE
"ASSISTANT CITY HIGHWAY REPAIRER",225,6.2861054072553,0.00888888888888889,0.00444444444444444,0.00888888888888889,FALSE
"ASSISTANT CIVIL ENGINEER",303,3.66050650239562,0.0858085808580858,0.0297029702970297,0.534653465346535,FALSE
"ASSISTANT COLLEGE SECURITY DIRECTOR",12,,,,,TRUE
"ASSISTANT COMMISSIONER",77,3.73716632443532,0.12987012987013,0.103896103896104,0.532467532467532,FALSE
"ASSISTANT COMMISSIONER CITYWIDE PYMT SVCS & STNDS",1,,,,,TRUE
"ASSISTANT COMMISSIONER FOR FACILITIES DEVELOPMENT & CONST",1,,,,,TRUE
"ASSISTANT COMMISSIONER FOR PROGRAM DEVELOPMENT",1,,,,,TRUE
"ASSISTANT COMMISSIONER OF INFORMATION TECHNOLOGY",1,,,,,TRUE
"ASSISTANT COMMISSIONER OF LABOR RELATIONS",7,,,,,TRUE
"ASSISTANT COMMISSIONER TAX POLICY",1,,,,,TRUE
"ASSISTANT COMPTROLLER",7,,,,,TRUE
"ASSISTANT COMPTROLLER OF IT",1,,,,,TRUE
"ASSISTANT CORPORATION COUNSEL",720,6.23819301848049,0.1875,0.1125,0.4625,FALSE
"ASSISTANT COUNSEL",2,,,,,TRUE
"ASSISTANT COUNSEL PD",4,,,,,TRUE
"ASSISTANT DEAN",8,,,,,TRUE
"ASSISTANT DEPUTY ADMINISTRATOR",2,,,,,TRUE
"ASSISTANT DEPUTY COMMISSIONER",1,,,,,TRUE
