"agency","fiscal_year","active","ceased","n","separation_rate","suppressed"
"FIRE DEPARTMENT",2025,17390,1684,19074,0.0882877215057146,FALSE
"GUTTMAN COMMUNITY COLLEGE",2014,272,17,289,0.0588235294117647,FALSE
"GUTTMAN COMMUNITY COLLEGE",2015,351,41,392,0.104591836734694,FALSE
"GUTTMAN COMMUNITY COLLEGE",2016,409,32,441,0.072562358276644,FALSE
"GUTTMAN COMMUNITY COLLEGE",2017,438,353,791,0.446270543615676,FALSE
"GUTTMAN COMMUNITY COLLEGE",2018,381,151,532,0.283834586466165,FALSE
"GUTTMAN COMMUNITY COLLEGE",2019,453,82,535,0.153271028037383,FALSE
"GUTTMAN COMMUNITY COLLEGE",2020,502,230,732,0.314207650273224,FALSE
"GUTTMAN COMMUNITY COLLEGE",2021,391,43,434,0.0990783410138249,FALSE
"GUTTMAN COMMUNITY COLLEGE",2022,349,77,426,0.18075117370892,FALSE
"GUTTMAN COMMUNITY COLLEGE",2023,379,67,446,0.150224215246637,FALSE
"GUTTMAN COMMUNITY COLLEGE",2024,351,56,407,0.137592137592138,FALSE
"GUTTMAN COMMUNITY COLLEGE",2025,369,158,527,0.299810246679317,FALSE
"HOUSING PRESERVATION & DVLPMNT",2014,1976,190,2166,0.087719298245614,FALSE
"HOUSING PRESERVATION & DVLPMNT",2015,2092,420,2512,0.167197452229299,FALSE
"HOUSING PRESERVATION & DVLPMNT",2016,2197,330,2527,0.130589631974674,FALSE
"HOUSING PRESERVATION & DVLPMNT",2017,2247,251,2498,0.100480384307446,FALSE
"HOUSING PRESERVATION & DVLPMNT",2018,2283,272,2555,0.106457925636008,FALSE
"HOUSING PRESERVATION & DVLPMNT",2019,2342,378,2720,0.138970588235294,FALSE
"HOUSING PRESERVATION & DVLPMNT",2020,2416,381,2797,0.136217375759743,FALSE
"HOUSING PRESERVATION & DVLPMNT",2021,2321,266,2587,0.102821801314264,FALSE
"HOUSING PRESERVATION & DVLPMNT",2022,2205,519,2724,0.190528634361233,FALSE
"HOUSING PRESERVATION & DVLPMNT",2023,2338,697,3035,0.229654036243822,FALSE
"HOUSING PRESERVATION & DVLPMNT",2024,2403,665,3068,0.216753585397653,FALSE
"HOUSING PRESERVATION & DVLPMNT",2025,2392,300,2692,0.111441307578009,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2014,13477,939,14416,0.0651359600443951,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2015,13536,2575,16111,0.159828688473714,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2016,13280,1333,14613,0.0912201464449463,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2017,13261,1063,14324,0.0742111142139067,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2018,12933,1018,13951,0.0729696795928607,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2019,12547,1465,14012,0.104553240079931,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2020,12463,1693,14156,0.11959593105397,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2021,11820,1216,13036,0.0932801472844431,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2022,10763,2018,12781,0.157890618887411,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2023,10652,2718,13370,0.203290949887809,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2024,10919,1779,12698,0.140100803276106,FALSE
"HRA/DEPT OF SOCIAL SERVICES",2025,10733,1131,11864,0.0953304113283884,FALSE
"HUMAN RIGHTS COMMISSION",2014,64,12,76,0.157894736842105,FALSE
"HUMAN RIGHTS COMMISSION",2015,65,26,91,0.285714285714286,FALSE
"HUMAN RIGHTS COMMISSION",2016,88,17,105,0.161904761904762,FALSE
"HUMAN RIGHTS COMMISSION",2017,109,24,133,0.180451127819549,FALSE
"HUMAN RIGHTS COMMISSION",2018,144,18,162,0.111111111111111,FALSE
"HUMAN RIGHTS COMMISSION",2019,130,45,175,0.257142857142857,FALSE
"HUMAN RIGHTS COMMISSION",2020,132,44,176,0.25,FALSE
"HUMAN RIGHTS COMMISSION",2021,122,13,135,0.0962962962962963,FALSE
"HUMAN RIGHTS COMMISSION",2022,102,48,150,0.32,FALSE
"HUMAN RIGHTS COMMISSION",2023,103,44,147,0.299319727891156,FALSE
"HUMAN RIGHTS COMMISSION",2024,106,56,162,0.345679012345679,FALSE
"HUMAN RIGHTS COMMISSION",2025,105,21,126,0.166666666666667,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2014,255,72,327,0.220183486238532,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2015,237,79,316,0.25,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2016,249,64,313,0.204472843450479,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2017,321,239,560,0.426785714285714,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2018,313,80,393,0.203562340966921,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2019,253,89,342,0.260233918128655,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2020,239,111,350,0.317142857142857,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2021,269,77,346,0.222543352601156,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2022,233,127,360,0.352777777777778,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2023,229,76,305,0.249180327868852,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2024,225,86,311,0.276527331189711,FALSE
"HUNTER COLLEGE HIGH SCHOOL",2025,236,114,350,0.325714285714286,FALSE
"INDEPENDENT BUDGET OFFICE",2014,35,4,39,0.102564102564103,FALSE
"INDEPENDENT BUDGET OFFICE",2015,36,12,48,0.25,FALSE
"INDEPENDENT BUDGET OFFICE",2016,36,5,41,0.121951219512195,FALSE
"INDEPENDENT BUDGET OFFICE",2017,36,7,43,0.162790697674419,FALSE
"INDEPENDENT BUDGET OFFICE",2018,34,6,40,0.15,FALSE
"INDEPENDENT BUDGET OFFICE",2019,35,4,39,0.102564102564103,FALSE
"INDEPENDENT BUDGET OFFICE",2020,38,1,39,0.0256410256410256,FALSE
"INDEPENDENT BUDGET OFFICE",2021,38,0,38,0,FALSE
"INDEPENDENT BUDGET OFFICE",2022,29,10,39,0.256410256410256,FALSE
"INDEPENDENT BUDGET OFFICE",2023,34,11,45,0.244444444444444,FALSE
"INDEPENDENT BUDGET OFFICE",2024,52,20,72,0.277777777777778,FALSE
"INDEPENDENT BUDGET OFFICE",2025,65,14,79,0.177215189873418,FALSE
"KINGS DA",2014,1037,213,1250,0.1704,FALSE
"LANDMARKS PRESERVATION COMM",2014,64,5,69,0.072463768115942,FALSE
"LANDMARKS PRESERVATION COMM",2015,73,21,94,0.223404255319149,FALSE
"LANDMARKS PRESERVATION COMM",2016,73,15,88,0.170454545454545,FALSE
"LANDMARKS PRESERVATION COMM",2017,68,15,83,0.180722891566265,FALSE
"LANDMARKS PRESERVATION COMM",2018,72,15,87,0.172413793103448,FALSE
"LANDMARKS PRESERVATION COMM",2019,75,18,93,0.193548387096774,FALSE
"LANDMARKS PRESERVATION COMM",2020,77,9,86,0.104651162790698,FALSE
"LANDMARKS PRESERVATION COMM",2021,72,11,83,0.132530120481928,FALSE
"LANDMARKS PRESERVATION COMM",2022,78,17,95,0.178947368421053,FALSE
"LANDMARKS PRESERVATION COMM",2023,77,29,106,0.273584905660377,FALSE
"LANDMARKS PRESERVATION COMM",2024,75,14,89,0.157303370786517,FALSE
"LANDMARKS PRESERVATION COMM",2025,70,10,80,0.125,FALSE
"LAW DEPARTMENT",2014,1527,191,1718,0.111175785797439,FALSE
"LAW DEPARTMENT",2015,1545,380,1925,0.197402597402597,FALSE
"LAW DEPARTMENT",2016,1573,225,1798,0.125139043381535,FALSE
"LAW DEPARTMENT",2017,1807,239,2046,0.116813294232649,FALSE
"LAW DEPARTMENT",2018,1773,255,2028,0.125739644970414,FALSE
"LAW DEPARTMENT",2019,1900,356,2256,0.157801418439716,FALSE
"LAW DEPARTMENT",2020,1869,332,2201,0.150840527033167,FALSE
"LAW DEPARTMENT",2021,1770,182,1952,0.0932377049180328,FALSE
"LAW DEPARTMENT",2022,1557,434,1991,0.217980914113511,FALSE
"LAW DEPARTMENT",2023,1495,506,2001,0.252873563218391,FALSE
"LAW DEPARTMENT",2024,1528,414,1942,0.213182286302781,FALSE
"LAW DEPARTMENT",2025,1495,226,1721,0.131319000581058,FALSE
"MANHATTAN COMMUNITY BOARD #1",2014,4,2,6,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2015,4,3,7,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2017,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2018,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2019,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2022,2,0,2,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2023,2,2,4,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2024,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #1",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2014,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2015,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2017,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2018,3,3,6,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2019,2,3,5,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2020,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2022,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2023,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2024,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #10",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2014,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2015,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2017,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2018,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2019,1,2,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2022,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2023,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2024,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #11",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2014,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2015,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2017,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2018,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2019,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2022,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2023,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2024,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #12",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2014,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2015,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2016,4,2,6,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2017,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2018,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2019,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2020,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2021,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2022,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2023,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2024,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #2",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2014,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2015,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2016,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2017,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2018,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2019,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2020,4,0,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2021,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2022,4,2,6,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2023,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2024,2,2,4,,TRUE
"MANHATTAN COMMUNITY BOARD #3",2025,3,3,6,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2014,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2015,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2017,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2018,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2019,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2022,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2023,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2024,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #4",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2014,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2015,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2016,2,2,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2017,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2018,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2019,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2021,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2022,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2023,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2024,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #5",2025,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2014,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2015,2,2,4,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2016,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2017,1,0,1,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2018,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2019,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2020,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2021,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2022,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2023,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2024,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #6",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2014,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2015,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2017,2,0,2,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2018,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2019,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2021,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2022,2,3,5,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2023,3,3,6,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2024,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #7",2025,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2014,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2015,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2016,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2017,3,1,4,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2018,2,3,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2019,4,6,10,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2020,2,2,4,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2021,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2022,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2023,4,1,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2024,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #8",2025,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2014,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2015,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2016,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2017,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2018,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2019,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2020,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2021,3,0,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2022,2,1,3,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2023,3,2,5,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2024,2,0,2,,TRUE
"MANHATTAN COMMUNITY BOARD #9",2025,3,1,4,,TRUE
"MANHATTAN DA",2014,1331,253,1584,0.159722222222222,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2017,99,17,116,0.146551724137931,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2018,153,22,175,0.125714285714286,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2019,169,47,216,0.217592592592593,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2020,184,21,205,0.102439024390244,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2021,158,33,191,0.172774869109948,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2022,167,71,238,0.298319327731092,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2023,178,68,246,0.276422764227642,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2024,186,86,272,0.316176470588235,FALSE
"MAYORS OFFICE OF CONTRACT SVCS",2025,188,56,244,0.229508196721311,FALSE
"MUNICIPAL WATER FIN AUTHORITY",2014,15,1,16,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2015,14,2,16,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2016,12,1,13,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2017,13,2,15,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2018,13,1,14,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2019,13,0,13,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2020,12,2,14,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2021,11,2,13,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2022,11,0,11,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2023,8,5,13,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2024,9,0,9,,TRUE
"MUNICIPAL WATER FIN AUTHORITY",2025,11,1,12,,TRUE
"NYC DEPT OF VETERANS' SERVICES",2017,32,5,37,0.135135135135135,FALSE
"NYC DEPT OF VETERANS' SERVICES",2018,35,6,41,0.146341463414634,FALSE
"NYC DEPT OF VETERANS' SERVICES",2019,38,12,50,0.24,FALSE
"NYC DEPT OF VETERANS' SERVICES",2020,38,10,48,0.208333333333333,FALSE
"NYC DEPT OF VETERANS' SERVICES",2021,36,1,37,0.027027027027027,FALSE
"NYC DEPT OF VETERANS' SERVICES",2022,32,10,42,0.238095238095238,FALSE
"NYC DEPT OF VETERANS' SERVICES",2023,33,18,51,0.352941176470588,FALSE
"NYC DEPT OF VETERANS' SERVICES",2024,36,8,44,0.181818181818182,FALSE
"NYC DEPT OF VETERANS' SERVICES",2025,36,13,49,0.26530612244898,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2014,409,44,453,0.0971302428256071,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2015,413,126,539,0.233766233766234,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2016,434,52,486,0.106995884773663,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2017,441,36,477,0.0754716981132075,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2018,442,33,475,0.0694736842105263,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2019,432,70,502,0.139442231075697,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2020,463,38,501,0.0758483033932136,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2021,472,41,513,0.0799220272904483,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2022,489,56,545,0.102752293577982,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2023,507,102,609,0.167487684729064,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2024,514,104,618,0.168284789644013,FALSE
"NYC EMPLOYEES RETIREMENT SYS",2025,501,73,574,0.127177700348432,FALSE
"NYC FIRE PENSION FUND",2018,32,1,33,0.0303030303030303,FALSE
"NYC FIRE PENSION FUND",2019,36,0,36,0,FALSE
"NYC FIRE PENSION FUND",2020,36,3,39,0.0769230769230769,FALSE
"NYC FIRE PENSION FUND",2021,44,2,46,0.0434782608695652,FALSE
"NYC FIRE PENSION FUND",2022,48,3,51,0.0588235294117647,FALSE
"NYC FIRE PENSION FUND",2023,46,6,52,0.115384615384615,FALSE
"NYC FIRE PENSION FUND",2024,48,11,59,0.186440677966102,FALSE
"NYC FIRE PENSION FUND",2025,49,7,56,0.125,FALSE
"NYC HOUSING AUTHORITY",2014,11498,1475,12973,0.1136976797965,FALSE
"NYC HOUSING AUTHORITY",2015,11457,2029,13486,0.150452320925404,FALSE
"NYC HOUSING AUTHORITY",2016,10944,3701,14645,0.252714236940935,FALSE
"NYC HOUSING AUTHORITY",2017,10791,1666,12457,0.133740065826443,FALSE
"NYC HOUSING AUTHORITY",2018,10794,1658,12452,0.133151300995824,FALSE
"NYC HOUSING AUTHORITY",2019,10820,1816,12636,0.143716365938588,FALSE
"NYC HOUSING AUTHORITY",2020,10978,1844,12822,0.143815317423179,FALSE
"NYC HOUSING AUTHORITY",2021,11384,2195,13579,0.161646660284262,FALSE
"NYC HOUSING AUTHORITY",2022,11707,2646,14353,0.184351703476625,FALSE
"NYC HOUSING AUTHORITY",2023,11878,2172,14050,0.154590747330961,FALSE
"NYC HOUSING AUTHORITY",2024,11865,3220,15085,0.213457076566125,FALSE
"NYC HOUSING AUTHORITY",2025,11994,1841,13835,0.133068305023491,FALSE
"NYC POLICE PENSION FUND",2014,157,19,176,0.107954545454545,FALSE
"NYC POLICE PENSION FUND",2015,150,35,185,0.189189189189189,FALSE
"NYC POLICE PENSION FUND",2016,152,33,185,0.178378378378378,FALSE
"NYC POLICE PENSION FUND",2017,155,36,191,0.18848167539267,FALSE
"NYC POLICE PENSION FUND",2018,142,31,173,0.179190751445087,FALSE
"NYC POLICE PENSION FUND",2019,141,23,164,0.140243902439024,FALSE
"NYC POLICE PENSION FUND",2020,138,9,147,0.0612244897959184,FALSE
"NYC POLICE PENSION FUND",2021,140,15,155,0.0967741935483871,FALSE
"NYC POLICE PENSION FUND",2022,140,27,167,0.161676646706587,FALSE
"NYC POLICE PENSION FUND",2023,140,46,186,0.247311827956989,FALSE
"NYC POLICE PENSION FUND",2024,144,24,168,0.142857142857143,FALSE
"NYC POLICE PENSION FUND",2025,141,21,162,0.12962962962963,FALSE
"OFF OF PAYROLL ADMINISTRATION",2014,147,14,161,0.0869565217391304,FALSE
"OFF OF PAYROLL ADMINISTRATION",2015,155,38,193,0.196891191709845,FALSE
"OFF OF PAYROLL ADMINISTRATION",2016,150,25,175,0.142857142857143,FALSE
"OFF OF PAYROLL ADMINISTRATION",2017,162,13,175,0.0742857142857143,FALSE
"OFF OF PAYROLL ADMINISTRATION",2018,151,16,167,0.0958083832335329,FALSE
"OFF OF PAYROLL ADMINISTRATION",2019,149,26,175,0.148571428571429,FALSE
"OFF OF PAYROLL ADMINISTRATION",2020,148,16,164,0.0975609756097561,FALSE
"OFF OF PAYROLL ADMINISTRATION",2021,145,6,151,0.0397350993377483,FALSE
"OFF OF PAYROLL ADMINISTRATION",2022,141,17,158,0.107594936708861,FALSE
"OFF OF PAYROLL ADMINISTRATION",2023,141,21,162,0.12962962962963,FALSE
"OFF OF PAYROLL ADMINISTRATION",2024,137,23,160,0.14375,FALSE
"OFF OF PAYROLL ADMINISTRATION",2025,132,8,140,0.0571428571428571,FALSE
"OFFICE OF COLLECTIVE BARGAININ",2014,15,2,17,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2015,15,5,20,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2016,18,1,19,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2017,19,1,20,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2018,16,2,18,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2019,18,2,20,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2020,14,4,18,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2021,17,1,18,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2022,17,1,18,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2023,14,3,17,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2024,15,3,18,,TRUE
"OFFICE OF COLLECTIVE BARGAININ",2025,15,0,15,,TRUE
"OFFICE OF CRIMINAL JUSTICE",2024,48,16,64,0.25,FALSE
"OFFICE OF CRIMINAL JUSTICE",2025,96,18,114,0.157894736842105,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2014,116,30,146,0.205479452054795,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2015,154,43,197,0.218274111675127,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2016,163,24,187,0.128342245989305,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2017,171,24,195,0.123076923076923,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2018,186,30,216,0.138888888888889,FALSE
"OFFICE OF EMERGENCY MANAGEMENT",2019,183,37,220,0.168181818181818,FALSE
