"name","male","female","total","common","male_weight","female_weight"
"WHITLEY",843,8148,8991,TRUE,0.0937604270937604,0.90623957290624
"BAKER",8234,748,8982,TRUE,0.916722333556001,0.0832776664439991
"KAMI",52,8925,8977,TRUE,0.00579258104043667,0.994207418959563
"FEDERICO",8971,5,8976,TRUE,0.999442959001782,0.000557040998217469
"TRIPP",8975,0,8975,TRUE,1,0
"CARLI",5,8967,8972,TRUE,0.000557289344627731,0.999442710655372
"RODRICK",8963,5,8968,TRUE,0.999442462087422,0.000557537912578055
"ESTEVAN",8956,10,8966,TRUE,0.998884675440553,0.0011153245594468
"SYLAS",8889,77,8966,TRUE,0.99141200089226,0.00858799910774035
"MARLYS",5,8958,8963,TRUE,0.000557848934508535,0.999442151065492
"TREASURE",209,8754,8963,TRUE,0.0233180854624568,0.976681914537543
"SHERLYN",8,8954,8962,TRUE,0.000892657888864093,0.999107342111136
"MARCELA",0,8955,8955,TRUE,0,1
"MAURINE",0,8954,8954,TRUE,0,1
"BRODERICK",8952,0,8952,TRUE,1,0
"VALENTINE",6711,2239,8950,TRUE,0.749832402234637,0.250167597765363
"JED",8945,0,8945,TRUE,1,0
"VALERY",107,8825,8932,TRUE,0.0119793999104344,0.988020600089566
"GARNET",2010,6913,8923,TRUE,0.225260562591057,0.774739437408943
"OMER",8856,67,8923,TRUE,0.992491314580298,0.00750868541970189
"KEANU",8695,225,8920,TRUE,0.974775784753363,0.0252242152466368
"ANABELLE",0,8919,8919,TRUE,0,1
"KATELIN",0,8917,8917,TRUE,0,1
"ELANA",0,8909,8909,TRUE,0,1
"FERDINAND",8909,0,8909,TRUE,1,0
"TALIYAH",0,8900,8900,TRUE,0,1
"ROXANN",0,8885,8885,TRUE,0,1
"KEVEN",8752,130,8882,TRUE,0.985363656834046,0.0146363431659536
"JEANNA",0,8881,8881,TRUE,0,1
"SAMIRA",0,8875,8875,TRUE,0,1
"KINGSLEY",6709,2165,8874,TRUE,0.756028848320938,0.243971151679062
"MALISSA",0,8866,8866,TRUE,0,1
"AVIANA",0,8863,8863,TRUE,0,1
"ROMA",576,8286,8862,TRUE,0.0649966147596479,0.935003385240352
"BRYN",1329,7532,8861,TRUE,0.149983071888049,0.850016928111951
"RAMSEY",6602,2259,8861,TRUE,0.74506263401422,0.25493736598578
"ARYAN",8106,748,8854,TRUE,0.915518409758301,0.0844815902416987
"EMMALYN",0,8847,8847,TRUE,0,1
"SHERRILL",1915,6932,8847,TRUE,0.216457556233752,0.783542443766248
"WILDER",8197,638,8835,TRUE,0.927787209960385,0.0722127900396152
"KRISTYN",0,8830,8830,TRUE,0,1
"DANIA",5,8818,8823,TRUE,0.000566700668706789,0.999433299331293
"STEPHON",8808,14,8822,TRUE,0.998413058263432,0.00158694173656767
"ANNETTA",0,8814,8814,TRUE,0,1
"ELORA",0,8811,8811,TRUE,0,1
"LILIANNA",0,8808,8808,TRUE,0,1
"AZIEL",8721,75,8796,TRUE,0.991473396998636,0.00852660300136426
"LYN",1561,7220,8781,TRUE,0.177770185628061,0.822229814371939
"KIRSTIN",0,8778,8778,TRUE,0,1
"ROB",8775,0,8775,TRUE,1,0
"ALLENE",5,8762,8767,TRUE,0.000570320520132314,0.999429679479868
"LORINE",12,8750,8762,TRUE,0.00136955033097466,0.998630449669025
"EITHAN",8754,0,8754,TRUE,1,0
"ALENE",5,8748,8753,TRUE,0.000571232720210214,0.99942876727979
