"title","fiscal_year","n","median_salary","mean_salary","real_median","wage_index","cpi_index","rent_index","suppressed"
"ACTUARIAL SPECIALIST LEVEL II OJ",2018,1,,,,,104.675046235713,112.134414076345,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2019,1,,,,,106.530687797474,114.748740835409,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2020,3,,,,,108.414239794744,117.935753675601,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2021,3,,,,,110.65187123857,119.137579303534,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2022,2,,,,,116.237048769221,119.968709204972,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2024,1,,,,,126.5824846726,131.901715171281,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2025,1,,,,,131.524337931956,138.829406942636,TRUE
"ADM DIR FLEET MAINTENANCE NM",2014,1,,,,,100,100,TRUE
"ADM DIR FLEET MAINTENANCE NM",2015,1,,,,,100.484295953631,102.913721782668,TRUE
"ADM DIR FLEET MAINTENANCE NM",2016,1,,,,,101.0644595854,106.641178909451,TRUE
"ADM DIR FLEET MAINTENANCE NM",2017,1,,,,,102.847025381756,109.624915604859,TRUE
"ADM MANAGER",2016,5,,,,,101.0644595854,106.641178909451,TRUE
"ADM MANAGER NON MGR",2016,28,,,,,101.0644595854,106.641178909451,TRUE
"ADM MANAGER NON MGRL",2014,49,70820,74632.8163265306,93145.5361234111,100,100,100,FALSE
"ADM MANAGER NON MGRL",2015,1140,65000,68142.3945614035,85078.7865351833,91.7819824908218,100.484295953631,102.913721782668,FALSE
"ADM MANAGER NON MGRL",2016,920,68678,71406.0583913044,89376.9037854312,96.9754306693025,101.0644595854,106.641178909451,FALSE
"ADM MANAGER NON MGRL",2017,1211,69288,73934.4847233691,88607.894032936,97.8367692742163,102.847025381756,109.624915604859,FALSE
"ADM MANAGER NON MGRL",2020,1275,77345,82684.2549019608,93832.2303103979,109.213499011579,108.414239794744,117.935753675601,FALSE
"ADM MANAGER NON MGRL",2021,1228,80138,85586.82247557,95254.5788445476,113.157300197684,110.65187123857,119.137579303534,FALSE
"ADM MANAGER NON MGRL",2022,1134,82071,87323.2654320988,92864.8314174325,115.886755153911,116.237048769221,119.968709204972,FALSE
"ADM MANAGER NON MGRL",2023,1264,83897,88314.263306962,90162.0247518828,118.465122846653,122.385199421188,125.45294384081,FALSE
"ADM MANAGER NON MGRL",2024,1469,90769,96037.554254595,94312.6741477994,128.168596441683,126.5824846726,131.901715171281,FALSE
"ADM MANAGER NON MGRL",2025,1450,94338,99352.128275862,94338,133.208133295679,131.524337931956,138.829406942636,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2014,905,61760,65168.0005745856,81229.4311067759,100,100,100,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2016,13,,,,,101.0644595854,106.641178909451,TRUE
"ADM MANAGER NON MGRL FROM M1/M2",2017,41,72248,75967,92393.2445458313,116.981865284974,102.847025381756,109.624915604859,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2018,1326,70460,75209.4602714932,88533.0858112757,114.086787564767,104.675046235713,112.134414076345,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2019,1331,72000,76750.8336213374,88892.2481107399,116.580310880829,106.530687797474,114.748740835409,FALSE
"ADM SCHOOL SECURITY MANAGER",2014,4,,,,,100,100,TRUE
"ADM SCHOOL SECURITY MANAGER",2016,4,,,,,101.0644595854,106.641178909451,TRUE
"ADM SCHOOL SECURITY MANAGER U",2015,4,,,,,100.484295953631,102.913721782668,TRUE
"ADM SCHOOL SECURITY MANAGER U",2017,4,,,,,102.847025381756,109.624915604859,TRUE
"ADM SCHOOL SECURITY MANAGER U",2018,3,,,,,104.675046235713,112.134414076345,TRUE
"ADM SCHOOL SECURITY MANAGER U",2019,2,,,,,106.530687797474,114.748740835409,TRUE
"ADM SCHOOL SECURITY MANAGER U",2020,1,,,,,108.414239794744,117.935753675601,TRUE
"ADM TRAFFIC ENFRCMNT AGENT",2014,1,,,,,100,100,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2015,1,,,,,100.484295953631,102.913721782668,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2016,1,,,,,101.0644595854,106.641178909451,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2017,1,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2014,13,,,,,100,100,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2015,12,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2016,11,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2017,10,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2018,8,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2019,10,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2020,11,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2021,10,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2022,12,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2023,10,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2024,9,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2025,9,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2014,48,80536.5,83156.1875,105925.09841857,100,100,100,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2015,42,79730.5,83427.7380952381,104359.602920668,98.9992115376258,100.484295953631,102.913721782668,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2016,122,87268.5,90291.6475409836,113570.405777671,108.358942839582,101.0644595854,106.641178909451,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2017,315,88595,90798.6603174603,113298.354287149,110.006022114197,102.847025381756,109.624915604859,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2018,408,81610.5,83349.9191176471,102543.704223689,101.333556834479,104.675046235713,112.134414076345,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2019,436,83004,84654.504587156,102477.946696998,103.06382820212,106.530687797474,114.748740835409,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2020,400,84992,86165.6525,103109.301422734,105.532274186239,108.414239794744,117.935753675601,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2021,388,84992,86611.7190721649,101024.197823202,105.532274186239,110.65187123857,119.137579303534,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2022,421,88952,91043.890736342,100650.808254358,110.449299385993,116.237048769221,119.968709204972,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2023,436,90000,92465.4885321101,96720.7674609277,111.750572721685,122.385199421188,125.45294384081,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2024,440,99184,101358.076409091,103056.20060456,123.154097831418,126.5824846726,131.901715171281,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2025,411,100871,104089.957712895,100871,125.248800233435,131.524337931956,138.829406942636,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2016,23,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2017,24,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2018,21,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2019,34,112245,107677.705882353,138579.310960972,100,106.530687797474,114.748740835409,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2020,48,116541,112209.104166667,141383.437230643,103.827341975144,108.414239794744,117.935753675601,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2021,45,117428,111547.688888889,139578.660367835,104.617577620384,110.65187123857,119.137579303534,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2022,56,114309.5,110981.839285714,129343.281389419,101.839280146109,116.237048769221,119.968709204972,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2023,65,111458,112956.446153846,119781.147774001,99.2988551828589,122.385199421188,125.45294384081,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2024,55,119530,120993.781818182,124196.52018736,106.49026682703,126.5824846726,131.901715171281,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2025,77,129089,124821.584415584,129089,115.006459085037,131.524337931956,138.829406942636,FALSE
"ADMIN CONTRACT SPECIALIST",2014,112,88708.5,89604.4155357143,116673.267314369,100,100,100,FALSE
"ADMIN CONTRACT SPECIALIST",2015,136,90095,93533.9191176471,117925.742659805,101.562984381429,100.484295953631,102.913721782668,FALSE
"ADMIN CONTRACT SPECIALIST",2016,177,91089,96379.8361581921,118542.368573796,102.683508344747,101.0644595854,106.641178909451,FALSE
"ADMIN CONTRACT SPECIALIST",2017,195,97850,101814.456410256,125133.96881311,110.305100413151,102.847025381756,109.624915604859,FALSE
"ADMIN CONTRACT SPECIALIST",2018,187,95000,101816.288770053,119367.629180687,107.092330498205,104.675046235713,112.134414076345,FALSE
"ADMIN CONTRACT SPECIALIST",2019,77,124361,127738.545454545,153537.900934718,140.190624348287,106.530687797474,114.748740835409,FALSE
"ADMIN CONTRACT SPECIALIST",2020,73,128852,136281.01369863,156318.708901098,145.253273361628,108.414239794744,117.935753675601,FALSE
"ADMIN CONTRACT SPECIALIST",2021,67,130000,135082.567164179,154522.139931009,146.547399629122,110.65187123857,119.137579303534,FALSE
"ADMIN CONTRACT SPECIALIST",2022,60,133099.77,137584.623166667,150604.814157852,150.041732190264,116.237048769221,119.968709204972,FALSE
"ADMIN CONTRACT SPECIALIST",2023,47,141737,144071.501914894,152321.237973439,159.778375240253,122.385199421188,125.45294384081,FALSE
"ADMIN CONTRACT SPECIALIST",2024,47,162837,162776.234042553,169194.25046222,183.564145487749,126.5824846726,131.901715171281,FALSE
"ADMIN CONTRACT SPECIALIST",2025,48,171113.5,171380.645833333,171113.5,192.894142049522,131.524337931956,138.829406942636,FALSE
"ADMIN DIR OF LABORATORY",2016,3,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN DIR OF LABORATORY",2017,2,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN DIR OF LABORATORY",2018,2,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN DIR OF LABORATORY",2019,1,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN DIR OF LABORATORY",2020,1,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN DIR OF LABORATORY",2021,2,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN DIR OF LABORATORY",2022,2,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN DIR OF LABORATORY",2023,2,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN DIR OF LABORATORY",2024,2,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN DIR OF LABORATORY",2025,3,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2016,19,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2017,29,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2018,27,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2019,55,95879,98597.1272727273,118373.609119578,100,106.530687797474,114.748740835409,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2020,51,96517,99653.4705882353,117091.02557203,100.665422042366,108.414239794744,117.935753675601,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2021,46,97497.5,100674.695652174,115888.633368643,101.688065165469,110.65187123857,119.137579303534,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2022,38,106317,105416.921052632,120299.622056599,110.886638367109,116.237048769221,119.968709204972,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2023,39,114737,113296.153846154,123305.007735161,119.668540556326,122.385199421188,125.45294384081,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2024,41,113441,114811.170731707,117869.802113062,118.316836846442,126.5824846726,131.901715171281,FALSE
"ADMIN HOUSING DEVELOPMENT SPEC",2025,44,118903,117407.136363636,118903,124.013600475599,131.524337931956,138.829406942636,FALSE
"ADMIN INSPECTOR",2016,43,101692,100859.11627907,132341.013130086,100,101.0644595854,106.641178909451,FALSE
"ADMIN INSPECTOR",2017,44,102849.5,103199.5,131527.502559468,101.138240962908,102.847025381756,109.624915604859,FALSE
"ADMIN INSPECTOR",2018,53,101032,100345.962264151,126946.84538298,99.3509813948,104.675046235713,112.134414076345,FALSE
"ADMIN INSPECTOR",2019,53,102659,103816.735849057,126744.295816673,100.95091059277,106.530687797474,114.748740835409,FALSE
"ADMIN INSPECTOR",2020,49,104433,105604.979591837,126694.438011582,102.695393934626,108.414239794744,117.935753675601,FALSE
"ADMIN INSPECTOR",2021,50,104180,104419.24,123831.665677019,102.446603469299,110.65187123857,119.137579303534,FALSE
"ADMIN INSPECTOR",2022,54,102326.5,102103.222222222,115784.298619925,100.623942886363,116.237048769221,119.968709204972,FALSE
"ADMIN INSPECTOR",2023,52,107634,106468.826923077,115671.589832105,105.843134169846,122.385199421188,125.45294384081,FALSE
"ADMIN INSPECTOR",2024,53,111064,111979.301886792,115400.002661164,109.21606419384,126.5824846726,131.901715171281,FALSE
"ADMIN INSPECTOR",2025,55,114466,115349.236363636,114466,112.561460095189,131.524337931956,138.829406942636,FALSE
"ADMIN JOB OPOR SPEC MANAGERIAL",2014,25,,,,,100,100,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2015,26,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2016,26,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2017,24,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2018,27,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2019,27,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2020,23,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2021,21,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2022,21,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2023,21,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2024,20,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2025,25,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN JOB OPPORTUNITY SPEC NM",2014,82,70887,73243.1341463415,93233.6574298255,100,100,100,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2015,84,74528,77154.6071428571,97550.027736833,105.136343758376,100.484295953631,102.913721782668,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2016,91,78946,79476.3076923077,102739.582489948,111.368798228166,101.0644595854,106.641178909451,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2017,93,81342,81922.3440860215,104022.966695923,114.748825595666,102.847025381756,109.624915604859,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2018,101,81545,82596.900990099,102461.403384622,115.035196862612,104.675046235713,112.134414076345,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2019,100,81186,82586.94,100233.417432202,114.528757035846,106.530687797474,114.748740835409,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2020,100,83859,85817.6,101734.785721115,118.299547166617,108.414239794744,117.935753675601,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2021,97,86078,88493.6701030928,102315.052007549,121.429881360475,110.65187123857,119.137579303534,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2022,87,87670,89033.4827586207,99200.2019028196,123.675709227362,116.237048769221,119.968709204972,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2023,79,88688,88950.6582278481,95310.7936063861,125.111797649781,122.385199421188,125.45294384081,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2024,88,92097.5,96135.8977272727,95693.03955455,129.921565308167,126.5824846726,131.901715171281,FALSE
"ADMIN JOB OPPORTUNITY SPEC NM",2025,88,94708,98512.0340909091,94708,133.60418694542,131.524337931956,138.829406942636,FALSE
"ADMIN LANDMARKS PRESERVATIONIST",2016,1,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2017,2,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2018,2,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2019,3,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2020,2,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2021,2,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2022,2,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2023,3,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2024,2,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN LANDMARKS PRESERVATIONIST",2025,2,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN SCHL SECUR MGR",2014,1,,,,,100,100,TRUE
"ADMIN SCHL SECUR MGR MGL",2015,1,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN SCHL SECUR MGR MGL",2016,1,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN SCHL SECUR MGR MGL",2018,1,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN SCHL SECUR MGR MGL",2019,1,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN SCHOOL SECURITY",2017,1,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN TESTS & MEAS SPEC",2014,6,,,,,100,100,TRUE
"ADMIN TESTS & MEAS SPEC",2015,7,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN TESTS & MEAS SPEC",2016,6,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN TESTS & MEAS SPEC",2017,7,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN TESTS & MEAS SPEC",2018,7,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN TESTS & MEAS SPEC",2019,4,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN TESTS & MEAS SPEC",2020,5,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN TESTS & MEAS SPEC",2021,4,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN TESTS & MEAS SPEC",2022,3,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN TESTS & MEAS SPEC",2023,6,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN TESTS & MEAS SPEC",2024,6,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN TESTS & MEAS SPEC",2025,6,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN TRAFFIC ENF AGNT",2014,22,,,,,100,100,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2015,22,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2016,22,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2017,28,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2018,25,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2019,27,,,,,106.530687797474,114.748740835409,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2020,25,,,,,108.414239794744,117.935753675601,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2021,22,,,,,110.65187123857,119.137579303534,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2022,19,,,,,116.237048769221,119.968709204972,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2023,26,,,,,122.385199421188,125.45294384081,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2024,28,,,,,126.5824846726,131.901715171281,TRUE
"ADMIN TRAFFIC ENF AGNT UNION",2025,26,,,,,131.524337931956,138.829406942636,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2014,2,,,,,100,100,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2015,2,,,,,100.484295953631,102.913721782668,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2016,2,,,,,101.0644595854,106.641178909451,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2017,1,,,,,102.847025381756,109.624915604859,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2018,3,,,,,104.675046235713,112.134414076345,TRUE
"ADMIN TRAFFIC ENFRCMNT AGENT",2019,3,,,,,106.530687797474,114.748740835409,TRUE
